text,label
"I love this product, it is amazing",positive
"This is the worst experience I have ever had",negative
"Absolutely fantastic service",positive
"I hate this so much",negative
"Not good, very disappointing",negative
"I am extremely happy with the results",positive
"This is terrible and unacceptable",negative
"I am not satisfied with the quality",negative
"Great value for money",positive
"Awful, would not recommend",negative
"The staff was friendly and helpful",positive
"I will never buy this again",negative
"Exceeded my expectations",positive
"Very poor performance",negative
"Highly recommend to everyone",positive
"This made me very upset",negative
"Satisfied with the purchase",positive
"Completely useless product",negative
"The quality is top notch",positive
"Disappointed beyond words",negative
"Fantastic experience overall",positive
"I regret buying this",negative
"Best service I have ever received",positive
"Not worth the money",negative
"Absolutely love it",positive
"This is unacceptable behavior",negative
"Happiness all around after using it",positive
"Totally ruined my day",negative
"Pleasantly surprised by the results",positive
"Extremely dissatisfied with this",negative
"Great support from the team",positive
"Worst product ever made",negative
"Love the ease of use",positive
"Completely broken upon arrival",negative
"Wonderful quality and design",positive
"Very frustrating experience",negative
"Highly satisfied with the outcome",positive
"Terrible, do not buy",negative
"I enjoy using this daily",positive
"This is a nightmare",negative
"Perfect for my needs",positive
"Regret purchasing this item",negative
"Amazing attention to detail",positive
"Extremely poor service",negative
"Absolutely thrilled with it",positive
"This is a scam",negative
"Works exactly as described",positive
"Not functional at all",negative
"Very happy with the results",positive
"Completely useless",negative
